Tense,Exercise Type,Questions,Answers
,bài tập các thì trong tiếng Anh,"1.Thì hiện tại đơn
1.
Thì hiện tại đơn
1.1 Tóm tắt kiến thức
1.1 Tóm tắt kiến thức
Cấu trúc:
Cấu trúc:
Ví dụ của động từ tobe:
Ví dụ của động từ tobe:
I am an engineer. (Tôi là một kỹ sư.)
The car isn’t expensive. (Chiếc ô tô này không đắt tiền.)
Are they students? (Họ là sinh viên à?)
Ví dụ của động từ thường:
Ví dụ của động từ thường:
The Sun sets in the West. (Mặt trời lặn ở hướng Tây.)
She doesn’t do exercise every evening. (Cô ấy không tập thể dục mỗi tối.)
Do they often go to school on foot? (Họ có thường đi bộ đến trường không?)
Cách dùng:
Cách dùng:
Diễn tả một chân lý, sự thật hiển nhiên trong cuộc .
Diễn tả một thói quen, hành động mang tính chất lặp đi lặp lại.
Diễn tả một kế hoạch (lịch học, lịch đi lại bằng tàu, máy bay…) có giờ giấc cụ thể, được sắp xếp cho tương lai.
Xem thêm:
=>50+ BÀI TẬP THÌ HIỆN TẠI ĐƠN TỪ CƠ BẢN ĐẾN NÂNG CAO CÓ ĐÁP ÁN
=>TỔNG HỢP BẢNG CÁC THÌ TRONG TIẾNG ANH ĐẦY ĐỦ NHẤT
1.2 Bài tập thì hiện tại đơn
1.2 Bài tập thì hiện tại đơn",
,Bài tập 1.Chia dạng đúng của các từ trong ngoặcở thì hiện tại đơn,"1. She often ______delicious meals. (make)
2. Hana ______eggs. (not eat)
3. They______(do) the homework on Monday.
4. He ______ (meet) friends every Sunday. (meet)
5. My sister ______ shopping every week. (go)
6. ______Nam and Hoa ______ to work by bus every day? (go)
7. _____ her parents ______with her decision? (agree)
8. Hoa  ______ her hair every day. (wash)
9. The police ______ robbers. (catch)","1. makes
2. does not eat/ doesn't eat
3. do
4. meets
5. goes
6. Do Nam and Hoa go...
7. Do her parents agree...
8. washes
9. catch"
,Bài tập 2.,"1. He doesn’t plays chess in the afternoon.
2. The bus don’t arrive at 10 a.m.
3. Our parents doesn’t live in a luxury house.
4. They aren’t do their job on weekends.
5. The dog don’t like me.","1. plays → play
2. don’t → doesn’t
3. doesn’t → don’t
4. aren’t → don’t
5. don’t → doesn’t
Xem thêm:
=>MẤT GỐC TIẾNG ANH NÊN BẮT ĐẦU TỪ ĐÂU
=>TẤT CẢ CÁC THÌ TRONG TIẾNG ANH: SƠ ĐỒ CÁC THÌ TRONG TIẾNG ANH
2.Thì hiện tại tiếp diễn
2.
Thì hiện tại tiếp diễn
2.1 Tóm tắt kiến thức
2.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng:
Cách dùng:
Diễn tả một hành động đang diễn ra ngay thời điểm hiện tại.
Sau câu mệnh lệnh, đề nghị.
Kết hợp với trạng từ Always thể hiện sự than phiền, khó chịu khi một hành động nào đó xảy ra lặp đi lặp lại.
Diễn tả một hành động/ sự việc sắp xảy ra trong tương lai gần.
Xem thêm:50+ BÀI TẬP THÌ HIỆN TẠI TIẾP DIỄN CÓ ĐÁP ÁN (PRESENT CONTINUOUS)
Xem thêm:
2.2 Bài tập về thì hiện tại tiếp diễn
2.2 Bài tập về thì hiện tại tiếp diễn"
,Bài tập 1: Hoàn thành các câu sau sử dụng thì hiện tại tiếp diễn,"1. Her/ dad / water/ some trees/ the/ garden
________________________
2. My/ younger sister/ clean/ floor/
________________________
3. Tiana/ have/ lunch/ her/ friends/ a/ restaurant
________________________
4. They/ ask/ a/ woman/ about/ the/ way/ the/ railway/ station
________________________
5. My/ friend/ draw/ a/ beautiful/ picture
________________________","1. My dad is watering some trees in the garden.
2. My younger sister is cleaning the floor.
3. Tiana is having lunch with her friends at a restaurant.
4. They are asking a woman about the way to the railway station.
5. My friend is drawing a beautiful picture.
>> ĐĂNG KÝ CÁC KHOÁ HỌC TIẾNG ANH
>> ĐĂNG KÝ CÁC KHOÁ HỌC TIẾNG ANH
Khóa học tiếng Anh giao tiếp TRỰC TUYẾN 1 kèm 1
Khóa học tiếng Anh giao tiếp dành riêng cho người đi làm
Khóa học tiếng Anh giao tiếp TRỰC TUYẾN NHÓM
Test trình độ tiếng Anh miễn phí
Đăng ký nhận tài liệu tiếng Anh"
,Bài tập 2: Chia dạng đúng cho các động từ trong ngoặc ở thì hiện tại tiếp diễn,"1. Listen! Someone (whisper) in the next room.
2. Your friend (sit) next to the beautiful girl over there at present?
3. Now Joy (try) to pass the examination.
4. It’s 11 o’clock, and my mom (cook) lunch in the kitchen.
5. Keep silent! You (sing) so loudly.
6. I (not stay) at home at the present.
7. Now Hana (lie) to her mother about her bad marks.
8. At present they (travel) to LA.
9. Jim (not work) in his office now.","1. is moving
2. is whispering
3. is sitting
4. are trying
5. is cooking
6. is singing
7. am not staying
8. is lying
9. are traveling
10. is not working
3.Thì hiện tại hoàn thành
3.
Thì hiện tại hoàn thành
3.1 Tóm tắt kiến thức
3.1 Tóm tắt kiến thức
Cấu trúc:
Cấu trúc:
Cách dùng:
Cách dùng:
Diễn tả một hành động xảy ra và kết thúc trong quá khứ không xác định rõ thời gian.
Diễn tả một hành động vừa mới xảy ra (thường đi với “just” hoặc “recently”).
Diễn tả một hành động/ sự việc nào đó bắt đầu từ quá khứ, vẫn kéo dài tiếp đến hiện tại và có thể duy trì trong tương lai.
Thường thấy trong cấu trúc so sánh nhất.
=>TRỌN BỘ BÀI TẬP THÌ HIỆN TẠI HOÀN THÀNH CÓ ĐÁP ÁN (PRESENT PERFECT)
=>KHÁM PHÁ LỘ TRÌNH HỌC TIẾNG ANH CHO NGƯỜI MẤT GỐC TỪ A ĐẾN Z
3.2 Bài tập về thì hiện tại hoàn thành
3.2 Bài tập về thì hiện tại hoàn thành"
,Bài tập 1: Chia các động từ trong ngoặc sang thì hiện tại hoàn thành,"1. There is no more ice cream. I (eat)……………. it all, I’m afraid.
2. The report isn’t right. They (make)………….. a mistake.
3. Don’t you want to see this horror movie? It ………….(start).
4. It’ll soon get warm here. I (turn)……….. the heating on.
5. ……… Linda (pay)…….. money for your mother?
6. Someone (take)………………. my car.
7. Wait a minute, please! I (finish)……………. my lunch.
8. ……… you ever (eat)………….. durian?
9. Kitty (not/come)…………… here for a very long time.
10. I (work)………….. at KD company for three years.","1. have eaten
2. have made
3. has started
4. have turned
5. Has Linda paid
6. has taken
7. have finished
8. Have you eaten
9. hasn't come
10. have worked"
,Bài tập 2: Viết lại câu không thay đổi nghĩa (thì hiện tại hoàn thành),"1) This is the first time Tim went abroad.
=> Tim hasn’t ________________________________________
2) Anna started driving 1 month ago.
=> Anna has _________________________________________
3) They began drinking beer when it started to rain.
=> They have ________________________________________
4) She last had my hair cut when she left him.
=> She hasn't __________________________________________
5) The last time Sana kissed me was 3 months ago.
=> Sana hasn't _______________________________________","1. Tim hasn’t never gone abroad before.
2. Anna has driven for 1 month.
3. They have drunk beer since it started raining.
4. She hasn't cut her hair since she left him.
5. Sana hasn’t kissed me for 3 months.
4.Thì hiện tại hoàn thành tiếp diễn
4.
Thì hiện tại hoàn thành tiếp diễn
4.1 Tóm tắt kiến thức
4.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng
Cách dùng
Dùng để nhấn mạnh tính liên tục của một hành động hoặc sự việc (bắt đầu từ quá khứ, tiếp diễn tới hiện tại và có khả năng kéo dài đến trong tương lai).
Diễn tả một hành động vừa mới kết thúc nhưng có ảnh hưởng, để lại hậu quả ở hiện tại.
=>TUYỂN TẬP BÀI TẬP THÌ HIỆN TẠI HOÀN THÀNH TIẾP DIỄN CÓ ĐÁP ÁN
=>6 BƯỚC TỰ HỌC TIẾNG ANH TẠI NHÀ CHO NGƯỜI MỚI BẮT ĐẦU THÀNH CÔNG
4.2 Bài tập về thì hiện tại hoàn thành tiếp diễn
4.2 Bài tập về thì hiện tại hoàn thành tiếp diễn"
,Bài tập 1: Chia động từ trong ngoặc sang thì hiện tại hoàn thành tiếp diễn,"1. My best friend _______French since September. (learn)
2. I’m getting tired. I _______ for the car for hours. (wait)
3. Sara ______ about where to go this weekend. (think)
4. Mary looks very exhausted because she ______ all night. (work)
5. Hoa ______ this book since last night. (read)","1. has been learning
2. have been waiting
3. has been thinking
4. has been working
5. has been reading"
,Bài tập 2: Hoàn thành câu với thì hiện tại hoàn thành tiếp diễn và “ever since”,"Ví dụ: Jin finished his business degree. Then he started to work for an international technology company.
=> Jin has been working for an international technology company ever since he finished his business degree.
1. Pony got a very bad flu. After that, she began to take vitamins.
=> Pony has ______________________________________________
2. David’s car broke down. Then he began to walk to work.
=> David has ______________________________________________
3. Jen’s doctor told her to lose weight. Then she began to do exercise.
=> Jen has ________________________________________________
4. Lim’s parents received the bad news. Then they started to cry.
=> Lim’s parents have _______________________________________
5. John’s wife died of cancer. Then he started to volunteer at the hospital.
=> John has _______________________________________________","1. Pony has been taking vitamins ever since she got the very bad flu.
2. David has been walking to work ever since his car broke down.
3. Jen has been doing exercise ever since her doctor told her to lose weight.
4. Lim’s parents have been crying ever since they received the bad news.
5. John has been volunteering at the hospital ever since his wife died of cancer.
Xem thêm:
=>TÓM TẮT ĐẦY ĐỦ CÁC THÌ TRONG TIẾNG ANH - CẤU TRÚC VÀ CÁCH SỬ DỤNG
=>6 THÌ CƠ BẢN TRONG TIẾNG ANH MÀ NGƯỜI HỌC NÀO CŨNG CẦN NẮM CHẮC
5.Thì quá khứ đơn
5.
Thì quá khứ đơn
5.1 Tóm tắt kiến thức
5.1 Tóm tắt kiến thức
Cấu trúc:
Cấu trúc:
Ví dụ động từ tobe:
Ví dụ động từ tobe:
I was at my aunt's house yesterday afternoon. (Tôi đã ở nhà dì tôi chiều hôm qua)
He wasn’t at home last Sunday. (Anh ấy đã không ở nhà Chủ Nhật tuần trước.)
Were they your friends? (Họ đã là bạn của cậu à?)
Ví dụ của động từ thường:
Ví dụ của động từ thường:
We visited Singapore last summer. (Chúng tôi du lịch Singapore mùa hè trước.)
She didn’t show me how to open the oven. (Cô ấy không cho tôi thấy cách mở lò nướng.)
Did they help you? (Họ đã giúp bạn à?)
Cách dùng:
Cách dùng:
Diễn tả một hành động/ sự việc đã xảy ra và kết thúc ngay tại một thời điểm xác định trong quá khứ.
Diễn tả một thói quen trong quá khứ, nhưng hiện tại không còn nữa.
Kể lại các hành động ngắn, xảy ra liên tiếp nhau trong quá khứ.
Sử dụng trongcâu điều kiện loại 2.
=>BÀI TẬP THÌ QUÁ KHỨ ĐƠN HAY NHẤT CÓ ĐÁP ÁN, NẮM CHẮC SAU 10 PHÚT
=>QUY TRÌNH HỌC TIẾNG ANH CHO NGƯỜI MỚI BẮT ĐẦU HIỆU QUẢ NHẤT
5.2 Bài tập thì quá khứ đơn
5.2 Bài tập thì quá khứ đơn"
,Bài tập 1: Chia động từ trong ngoặc ở thì quá khứ đơn,"1. Lily (eat)___________ dinner at five o’clock yesterday.
2. My dad (buy)___________ a new car last month.
3. They (go)___________ to LA on their last summer holiday.
4. My family and I (see)___________ a horror movie last night.
5. First, Minh and Lan (do)___________ homework, and then they (drink)___________ some juice.
6. Suddenly, the cat jumped and (bite)___________ my hand.
7. What time (do)___________ they (get up)___________ this afternoon?
8. I think I (hear)___________ a strange sound outside the house 5 minutes ago.
9. When I was 5 years old, I (break)__________ my arm. It really (hurt) __________.
10. The police (catch)___________ all three of the robbers last month.
11. How many times (do)___________ you (read)___________ this book?","1. ate
2. bought
3. went
4. saw
5. did - drank
6. bit
7. did they get up
8. heard
9. broke - hurt
10. caught
11. did you read"
