topic,english,ipa,type,vietnamese,synced
chủ đề gia đình,Birth,/bɜrθ/,n,"Sự sinh ra, sự chào đời",True
chủ đề gia đình,Brother,/ˈbrʌðər/,n,Anh/em trai,True
chủ đề gia đình,Brother-in-law,,,anh/em rể,True
chủ đề gia đình,Close,/kloʊs/,adj,"Gần gũi, gắn bó",True
chủ đề gia đình,Cousin,/ˈkʌzən/,n,Anh chị em họ,True
chủ đề gia đình,Daughter,/ˈdɔtər/,n,Con gái,True
chủ đề gia đình,Daughter-in-law,,,con dâu,True
chủ đề gia đình,Father,/ˈfɑðər/,n,Cha/Bố,True
chủ đề gia đình,Father-in-law,,n,bố chồng/bố vợ,True
chủ đề gia đình,Godmother,/ˈɡɑːdmʌðər/,n,mẹ đỡ đầu,True
chủ đề gia đình,Grandparents,/ˈgrændˌpɛrənts/,n,Ông bà,True
Từ vựng về thời tiết,Shower,/ˈʃaʊər/,n,mưa rào,True
Từ vựng về thời tiết,Tornado,/tɔːrˈneɪdoʊ/,n,lốc một cơn gió cực mạnh xoáy tròn trong một khu vực nhỏ; xoay tròn theo cột không khí,True
Từ vựng về thời tiết,Storm,/stɔːrm/,n,"Bão, giông tố (giông tố) – từ gọi chung cho các cơn bão",True
Từ vựng về thời tiết,Typhoon,/taɪˈfuːn/,n,"Bão, siêu bão (dùng để gọi các cơn bão ở Tây Bắc Thái Bình Dương)",True
Từ vựng về thời tiết,Hurricane,/ˈhɜːrəkən/,n,Bão (dùng để gọi các cơn bão ở Đại Tây Dương / Bắc Thái Bình Dương),True
Từ vựng về thời tiết,Cyclone,/ˈsaɪkloʊn/,n,Bão (dùng để gọi các cơn bão ở Nam Bán Cầu),True
chủ đề nghề nghiệp,Interview,/’intəvju:/,v,phỏng vấn,True
chủ đề nghề nghiệp,Job,/dʒɔb/,n,việc làm,True
chủ đề nghề nghiệp,Appointment,/ə’pɔintmənt/,n,buổi hẹn gặp,True
chủ đề nghề nghiệp,Advertisement,/ˌædvərˈtaɪzmənt/,n,quảng cáo,True
chủ đề nghề nghiệp,Contract,/’kɔntrækt/,n,hợp đồng,True
chủ đề nghề nghiệp,Overtime,/´ouvətaim/,n,ngoài giờ làm việc,True
chủ đề nghề nghiệp,Redundancy,/ri’dʌndənsi/,n,sự thừa nhân viên,True
chủ đề nghề nghiệp,Redundant,/ri’dʌndənt/,adj,bị thừa,True
chủ đề nghề nghiệp,Part-time,/´pa:t¸taim/,"adj,adv",bán thời gian,True
chủ đề nghề nghiệp,Full-time,/ˌfʊl ˈtaɪm/,"adj,adv",toàn thời gian,True
Từ vựng về quần áo,overcoat,/ˈəʊvərkəʊt/,n,áo măng tô,True
Từ vựng về quần áo,jacket,/ˈdʒækɪt/,n,áo khoác ngắn,True
Từ vựng về quần áo,suit,/suːt/,n,bộ com lê nam hoặc bộ vest nữ,True
Từ vựng về quần áo,shorts,/ʃɔːrts/,n,quần soóc,True
Từ vựng về quần áo,jeans,/dʒiːnz/,n,quần bò,True
Từ vựng về quần áo,shirt,/ʃɜːrt/,n,áo sơ mi,True
Từ vựng về quần áo,tie,/taɪ/,n,cà vạt,True
